date,close,volume,open,high,low
24/01/2018,84.39,15022,85.54,85.54,83.91
23/01/2018,85.14,26860,84.685,85.19,84.6
22/01/2018,84.92,26721,85.476,85.476,84.365
19/01/2018,84.41,16978,84,84.55,84
18/01/2018,83.255,27946,83.21,83.36,82.865
17/01/2018,83.39,19689,83,83.51,82.54
16/01/2018,82.65,14740,82.51,84,82.51
12/01/2018,82.325,12703,82.23,82.325,81.35
11/01/2018,82.335,16341,81.73,82.335,81.72
10/01/2018,81.75,15308,80.27,81.75,80.27
09/01/2018,81.11,14070,81.58,81.58,80.8
08/01/2018,80.36,13158,79.8,80.4,79.8
05/01/2018,79.94,12651,79.33,79.94,79.3
04/01/2018,79.74,18759,79.69,79.84,79.26
03/01/2018,79.845,19990,79.452,79.87,78.72
02/01/2018,78.5,11429,76.96,78.5,76.96
29/12/2017,78.04,9171,76.78,78.87,76.78
28/12/2017,77.99,9116,77.932,78,77.8
27/12/2017,78.06,9906,79.15,79.15,78
26/12/2017,78.67,8834,78.455,78.69,78.4
22/12/2017,78.97,12414,78.872,78.97,78.85
21/12/2017,78.4,15927,77.88,78.65,77.88
20/12/2017,79.535,19084,77.83,79.78,77.83
19/12/2017,77.2,10198,76.974,77.3,76.974
18/12/2017,75.62,20255,74.86,75.9,74.86
15/12/2017,73.675,11839,73.49,74.02,73.47
14/12/2017,74.3,11689,74.512,74.65,74.3
13/12/2017,74.72,21937,74.544,74.74,74.25
12/12/2017,75.45,11404,75.83,75.83,74.82
11/12/2017,75.525,18573,76,76,75.048
08/12/2017,74.995,15428,75.155,75.31,74.86
07/12/2017,74.99,12551,73.96,75.184,73.96
06/12/2017,73.16,7502,73.18,73.42,73.16
05/12/2017,73.6,76065,72.97,73.98,72.97
04/12/2017,72.49,55719,72.63,73.59,72.49
01/12/2017,73.9,15683,74.21,74.21,73.0645
30/11/2017,74.83,12057,74.61,75.03,74.61
29/11/2017,75.4,24555,76.57,76.57,75.21
28/11/2017,75.36,33248,75.25,75.44,75.08
27/11/2017,75.97,8736,74.99,76.06,74.99
24/11/2017,76.32,4687,75.35,76.35,75.35
