,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,Prev Close,TR,ATR,RSI,Prediction_ATR,Prediction_RSI
84,2014-10-16,GS,172.020004,176.28999299999998,171.259995,172.580002,161.48538200000002,7797500,177.240005,5.980009999999993,4.4841106019396175,30.97695525228228,207.95637942627383,199.29223913464028
85,2014-10-17,GS,175.800003,177.53999299999998,175.100006,176.91000400000001,165.537003,4951000,172.580002,4.959990999999974,4.547561608573064,40.38889540431847,208.57718703503775,201.11231503981958
86,2014-10-20,GS,176.220001,178.0,175.820007,177.83999599999999,166.40725700000002,2307900,176.91000400000001,2.179992999999996,4.231884557081203,42.18706124740456,205.48858803753978,201.46004337974205
87,2014-10-21,GS,179.220001,180.360001,178.360001,180.179993,168.596802,2649500,177.83999599999999,2.520005000000026,4.00363317429919,49.28056996572053,203.25536586093114,202.8317822659687
88,2014-10-22,GS,180.550003,180.800003,176.830002,176.830002,165.462189,3088300,180.179993,3.9700009999999963,3.9991488711939276,41.89224593815793,203.2114912301655,201.40303215440807
89,2014-10-23,GS,178.800003,181.100006,178.71000700000002,180.059998,168.484543,3397000,176.830002,4.270004,4.035262980490483,38.670417730139825,203.5648333601738,200.77999675497747
90,2014-10-24,GS,180.270004,183.490005,180.009995,183.350006,171.563049,2900900,180.059998,3.480009999999993,3.9612290860876644,44.572939501768886,202.84048228380385,201.92142322845692
91,2014-10-27,GS,182.860001,184.16000400000001,182.309998,183.91000400000001,172.087006,2383700,183.350006,1.8500060000000076,3.679732135264786,50.15745930780317,200.0863029856844,203.00135465351602
92,2014-10-28,GS,184.16000400000001,186.320007,183.199997,186.320007,174.342117,3027700,183.91000400000001,3.1200100000000077,3.605102393305143,49.536243263185305,199.3561221090234,202.88122423019675
93,2014-10-29,GS,186.08999599999999,187.309998,185.389999,186.080002,174.117493,3379000,186.320007,1.9199990000000184,3.380421617522043,58.18862611956954,197.1578349178538,204.55441735562098
94,2014-10-30,GS,185.479996,187.100006,185.169998,186.970001,174.95031699999998,2794800,186.080002,1.930008000000015,3.1870328939842723,61.21892636409799,195.265710625564,205.14041518087615
95,2014-10-31,GS,189.240005,190.0,188.119995,189.990005,177.77616899999998,3357000,186.970001,3.0299990000000037,3.166095018820483,68.22612425855664,195.06085347825157,206.49546332658372
96,2014-11-03,GS,190.350006,191.979996,189.75,190.830002,178.56218,2298100,189.990005,2.229996,3.041281699384308,69.22347067845072,193.8396741385969,206.6883296388045
97,2014-11-04,GS,190.470001,190.970001,188.820007,190.270004,178.038162,2027300,190.830002,2.1499939999999924,2.9224432429808798,71.25612067839626,192.67695313757002,207.0814023983846
98,2014-11-05,GS,191.580002,191.869995,189.610001,189.83999599999999,177.635803,3141100,190.270004,2.2599939999999776,2.834116615098984,82.66463911163048,191.81276129011343,209.28757553364736
99,2014-11-06,GS,190.380005,191.440002,189.779999,191.0,178.72122199999998,1915400,189.83999599999999,1.660002999999989,2.677568037617647,80.30106666666663,190.28108270535873,208.83050917031167
100,2014-11-07,GS,191.25,191.479996,189.300003,190.71000700000002,178.449875,1981400,191.0,2.179992999999996,2.6112246642048276,78.46088109416719,189.63197604510233,208.4746550778013
101,2014-11-10,GS,190.509995,191.869995,190.509995,191.800003,179.469803,1553900,190.71000700000002,1.3599999999999852,2.4443946325609094,77.20039794007494,187.99970323321173,208.2309035259864
102,2014-11-11,GS,191.809998,192.679993,190.529999,191.880005,179.544708,1620100,191.800003,2.1499939999999924,2.405141199303401,91.5975507145905,187.61564581112629,211.01501715662948
103,2014-11-12,GS,190.66000400000001,190.889999,189.330002,190.179993,177.953934,2322200,191.880005,2.550003000000004,2.4244561127081847,80.5554906402024,187.80462382488068,208.8797095409528
104,2014-11-13,GS,190.83999599999999,191.190002,189.199997,190.240005,178.010101,1749600,190.179993,1.9900049999999965,2.3665292804081504,75.84389713722338,187.23786499548655,207.96858413309351
105,2014-11-14,GS,190.360001,190.83999599999999,189.619995,189.979996,177.7668,1691600,190.240005,1.2200009999999963,2.213658803515993,73.29229637172305,185.7421731184724,207.47515695464728
106,2014-11-17,GS,189.520004,191.190002,189.220001,189.929993,177.720016,1593400,189.979996,1.9700009999999963,2.1811710891045193,66.91645637383613,185.4243118051838,206.24220045811433
107,2014-11-18,GS,189.619995,190.66000400000001,189.58999599999999,189.639999,177.448639,1810300,189.929993,1.0700080000000298,2.0330159818003124,66.6044156029025,183.9747553241807,206.18185818229918
